"id","category","question","answer1","answer2","response1","response2","responses","stat","source","url","created","updated"
"05flm9apjp","ethical","Do you think younger people are likely to align with evangelical Christian values?","Yes","No",0,0,0,"According to a Pew Research Center study, Christian groups and Jews receive higher ratings from older Americans (those ages 65 and older) than from younger Americans.","Pew Research Center","http://www.pewforum.org/2014/07/16/how-americans-feel-about-religious-groups/","2016-09-03T15:37:11.273Z","2016-09-03T15:38:46.920Z"
"06gahsnbnh","healthandsafety","Do you think males or females have a higher risk of dying from heat related causes?","Males","Females",0,0,0,"","","","2016-09-03T15:37:23.842Z","2016-09-03T15:38:47.293Z"
"093evwd8ft","healthandsafety","Do you believe that you are more or less likely to be obese in hot/arid/humid climates in the United States?","Yes","No",0,0,0,"Data shows obesity rates are generally higher in the southern states (CDC.gov)","","","2016-09-03T15:37:22.582Z","2016-09-03T15:38:47.808Z"
"098l18q7hg","healthandsafety","Do you think most drowning deaths involve alcohol?","Yes","No",0,0,0,"A study, conducted over an 18 year period, published in the 2013 journal BMC Public Health found that nearly half of all male drowning death victims had some level of alcohol circulating in their system.","","","2016-09-03T15:37:27.466Z","2016-09-03T15:38:48.414Z"
"09eqy9sqs5","healthandsafety","Do you think it is safer to swim in natural bodies of water or in swimming pools?","Natural bodies","Swimming Pools",0,0,0,"According to the CDC mortality statistics, men are significantly more likely to swim in natural bodies of water (rivers, lakes, oceans, etc.), and natural bodies of water are three times more deadly than swimming pools.","","","2016-09-03T15:37:27.085Z","2016-09-03T15:38:48.820Z"
"0avg6xl46a","environmental","Deforestation at current rates results in the equivalent of losing about 48 football fields every minute.","TRUE","FALSE",0,0,0,"World Wildlife Fund (WWF) states that some 46-58 thousand square miles of forest are lost each yearäóîequivalent to 48 football fields every minute.","World Wildlife Fund","http://www.worldwildlife.org/threats/deforestation","2016-09-03T15:37:08.224Z","2016-09-03T15:38:49.239Z"
"0c8q0vhfn4","socialandpolitical","Do you assoicate Texas with the Republican party?","Yes","No",0,0,0,"","","","2016-09-03T15:37:34.539Z","2016-09-03T15:38:49.695Z"
"0cf0xn50m0","ethical","Do you personally know someone who is Catholic?","Yes","No",0,0,0,"According to a Pew Research Center study, fully 87% of U.S. adults (including 85% of non-Catholics) say they personally know someone who is Catholic.","Pew Research Center","http://www.pewforum.org/2014/07/16/how-americans-feel-about-religious-groups/","2016-09-03T15:37:11.424Z","2016-09-03T15:38:50.110Z"
"0ct7jj2atn","healthandsafety","Do you worry about gun control?","Yes","No",0,0,0,"More people are killed in the U.S. by firearms every year than have been lost in both the Iraq and Afghanistan wars since they started.","","","2016-09-03T15:37:25.072Z","2016-09-03T15:38:50.510Z"
"0ed5n97eca","ethical","Is lying to protect somone okay?","Yes","No",0,0,0,"","","","2016-09-03T15:37:14.279Z","2016-09-03T15:38:50.900Z"
