"id","category","question","answer1","answer2","response1","response2","responses","stat","source","url","created","updated"
"01bl313cte","ethical","Do people living in the present have more value than future persons?","Yes","No",0,0,0,"If weäó»re to deal with climate change and prevent the exhaustion of our planetäó»s non-renewable resources, we may be forced to scale back our civilization to ensure ongoing sustainability. But should people living in the here-and-now have to worry and make sacrifices for people who havenäó»t even been born yet?","io9. Gizmodo","http://io9.gizmodo.com/these-unresolved-ethical-questions-are-about-to-get-rea-512883836","2016-09-05T03:23:49.140Z","2016-09-05T03:23:49.140Z"
"01kel2dq0t","socialandpolitical","Are you worried about the state of the world with Trump or Clinton leading the USA?","Yes","No",0,0,0,"","","","2016-09-05T03:24:30.244Z","2016-09-05T03:24:30.244Z"
"041qm8t4t6","environmental","Do you think the environmental cost of space exploration is justified?","Yes","No",0,0,0,"A single NASA space shuttle launch produces 28 tons of carbon dioxide. A launch also releases 13 tons of hydrochloric acid, which kills fish and plants within half a mile of the launch site.","Discover Magazine","http://facts.randomhistory.com/pollution-facts.html","2016-09-05T03:23:21.762Z","2016-09-05T03:23:21.762Z"
"0c9bfcobs9","environmental","Do you think pollution in China affects weather in the U.S.?","Yes","No",0,0,0,"Pollution in China alters the weather in the United States. It takes just five days for the jet stream to carry heavy air pollution from China to the U.S. Once in the atmosphere, the pollution stops clouds from producing rain and snowäóîi.e., more pollution equals less precipitation.","CBS News","http://facts.randomhistory.com/pollution-facts.html","2016-09-05T03:23:25.957Z","2016-09-05T03:23:25.957Z"
"0choptqw5b","environmental","Do you think Antarctica is polluted?","Yes","No",0,0,0,"Antarctica is the cleanest place on Earth and is protected by strong antipollution laws.","Brown, Paul. 2003. Global Pollution.","http://facts.randomhistory.com/pollution-facts.html","2016-09-05T03:23:21.958Z","2016-09-05T03:23:21.958Z"
"0clkbenypa","healthandsafety","Do you think you are a heavy drinker?","Yes","No",0,0,0,"","","","2016-09-05T03:24:11.965Z","2016-09-05T03:24:11.965Z"
"0hswq7wa2j","socialandpolitical","Do you believe people should keep their political views out of the work place?","Yes","No",0,0,0,"","","","2016-09-05T03:24:23.352Z","2016-09-05T03:24:23.352Z"
"0l970gb2l4","ethical","Do you think most affairs are one-night stands?","Yes","No",0,0,0,"According to the Journal of Marital and Family Therapy, the average length of an affiar is 2 years.","American Association for Marriage and Family Therapy","http://www.statisticbrain.com/infidelity-statistics/","2016-09-05T03:23:40.892Z","2016-09-05T03:23:40.892Z"
"0m2jhjtt4j","recreational","Do you like to run for fun?","Yes","No",0,0,0,"","","","2016-09-05T03:24:18.978Z","2016-09-05T03:24:18.978Z"
"0o6gm2pawo","ethical","Should people be forced to die if/when indefinite lifespans are achieved?","Yes","No",0,0,0,"The day will eventually come when the problem that is biological aging is finally solved. Needless to say, the advent of indefinite lifespans could result in some serious negative consequences. How are we going to deal with the prospect of indefinite lifespans once they start to emerge?","io9. Gizmodo","http://io9.gizmodo.com/these-unresolved-ethical-questions-are-about-to-get-rea-512883836","2016-09-05T03:23:48.642Z","2016-09-05T03:23:48.642Z"
"0pc3ojcmlb","environmental","Do you worry about pollution from cooking in your own home?","Yes","No",0,0,0,"The soot and smoke from indoor cooking fires in undeveloped countries create deadly indoor pollution and kill as many as 2 million people annually, higher than the deathrate attributed to malaria.","Fox News","http://www.foxnews.com/health/2011/10/26/dangers-indoor-air-pollution.html","2016-09-05T03:23:25.037Z","2016-09-05T03:23:25.037Z"
"0qdp5ca1fn","ethical","Have you ever lied to get out of a speeding ticket?","Yes","No",0,0,0,"According to a Harris Poll, 7% of U.S. adults admit to having lied to get out of a speeding ticket.","Harris Poll","http://isp.netscape.com/whatsnew/package.jsp?name=fte/2commonlies/2commonlies","2016-09-05T03:23:47.154Z","2016-09-05T03:23:47.154Z"
"0rx87e7mmf","recreational","Do you find yourself needing a drink or a substance to gain the courage to approach someone of your attracted sex?","Yes","No",0,0,0,"","","","2016-09-05T03:24:18.267Z","2016-09-05T03:24:18.267Z"
"0swr9xbymx","ethical","Would you end an intimate relationship with a person if they had an unpleasant body odor?","Yes","No",0,0,0,"","","","2016-09-05T03:23:53.338Z","2016-09-05T03:23:53.338Z"
"0tnrcycwus","recreational","Do you play video games?","Yes","No",0,0,0,"","","","2016-09-05T03:24:20.479Z","2016-09-05T03:24:20.479Z"
"0ucbmpgq0c","financial","Do you currently have student loan debt?","Yes","No",0,0,0,"The average student loan is US$23,186.","Economy Watch","http://www.economywatch.com/personal-finance/a-dozen-shocking-personal-finance-statistics.23-04.html","2016-09-05T03:24:01.705Z","2016-09-05T03:24:01.705Z"
"0x06k4m6ro","healthandsafety","Do you visit the dentist at least once per year?","Yes","No",0,0,0,"According to a 2013 Gallup-Health ways Well-Being Index survey, about one in three U.S. adults say they did not visit the dentist at some point in the past 12 months.","","","2016-09-05T03:24:09.874Z","2016-09-05T03:24:09.874Z"
"0yec3krgkl","environmental","Do you know of at least one company that supplies renewable or otherwise ""green"" energy?","Yes","No",0,0,0,"According to treehugger.com; 54 percent of consumers could not name a company who supplied renewable or otherwise ""green"" energy.","treehugger.com","http://www.treehugger.com/renewable-energy/green-stats-77-percent.html","2016-09-05T03:23:31.791Z","2016-09-05T03:23:31.791Z"
"117kyh42q7","healthandsafety","Do you worry about some idiot opening the emergency exit door on an airplane midflight?","Yes","No",0,0,0,"Normal cabin pressurization holds emergency exit doors shut so tight that it's impossible for anyone to open one while the plane is in the air.","","","2016-09-05T03:24:12.669Z","2016-09-05T03:24:12.669Z"
"147dens756","socialandpolitical","Is aquiring personal wealth more important than world peace?","Yes","No",0,0,0,"","","","2016-09-05T03:24:25.362Z","2016-09-05T03:24:25.362Z"
